iter	Logloss
0	0.6632587728
1	0.6355782345
2	0.6101354259
3	0.5848979593
4	0.5605550171
5	0.5414577675
6	0.5212049518
7	0.5054466552
8	0.4881034493
9	0.4694487431
10	0.4516755153
11	0.4400394819
12	0.4288555529
13	0.4185890633
14	0.4098520303
15	0.4008040233
16	0.3943992179
17	0.3874605785
18	0.3802267868
19	0.3760565034
20	0.370792306
21	0.3643405292
22	0.3581676512
23	0.3519608477
24	0.3470306319
25	0.3430637169
26	0.3373770229
27	0.3323802514
28	0.327640173
29	0.3256582421
30	0.3224322303
31	0.3187221625
32	0.3157931227
33	0.31229657
34	0.3102016054
35	0.3077790432
36	0.3053531811
37	0.304567712
38	0.3027689174
39	0.3010820771
40	0.3000819518
41	0.2974165444
42	0.2961412828
43	0.2932978279
44	0.2908828836
45	0.2904129838
46	0.2871224209
47	0.2855417677
48	0.2830087933
49	0.2805681272
50	0.2788779252
51	0.2777993702
52	0.2767053944
53	0.2737621984
54	0.2719390391
55	0.2713147781
56	0.2702202472
57	0.2694947338
58	0.2683628539
59	0.2669064299
60	0.265577936
61	0.2645783041
62	0.2639202101
63	0.261895533
64	0.2602415388
65	0.258823975
66	0.2575569326
67	0.2565997848
68	0.2553387719
69	0.2540852536
70	0.2526730869
71	0.2519427931
72	0.2509499309
73	0.2494953111
