iter	Passed	Remaining
0	165	49564
1	173	25838
2	184	18230
3	192	14229
4	201	11866
5	209	10287
6	217	9099
7	223	8153
8	231	7474
9	240	6965
10	250	6570
11	260	6247
12	267	5903
13	276	5658
14	285	5422
15	293	5211
16	299	4984
17	309	4855
18	316	4687
19	326	4569
20	333	4436
21	343	4337
22	351	4228
23	358	4118
24	366	4026
25	372	3925
26	379	3834
27	386	3757
28	394	3690
29	405	3649
30	415	3601
31	422	3540
32	428	3468
33	435	3404
34	441	3343
35	449	3293
36	454	3233
37	460	3177
38	467	3128
39	473	3075
40	478	3025
41	484	2977
42	490	2930
43	497	2895
44	503	2853
45	509	2815
46	515	2776
47	521	2740
48	529	2709
49	534	2671
50	541	2643
51	548	2613
52	555	2589
53	562	2564
54	569	2534
55	576	2511
56	581	2480
57	588	2454
58	594	2429
59	600	2403
60	606	2377
61	613	2353
62	618	2327
63	624	2304
64	630	2278
65	635	2253
66	641	2229
67	646	2206
68	652	2184
69	659	2165
70	664	2143
71	671	2125
72	676	2105
73	682	2083
74	689	2067
75	694	2048
76	701	2032
77	708	2017
78	715	2000
79	720	1982
80	728	1968
81	734	1953
82	740	1936
83	748	1923
84	754	1908
85	759	1890
86	766	1876
87	771	1859
88	777	1844
89	784	1830
90	791	1816
91	798	1804
92	804	1790
93	811	1777
94	817	1763
95	824	1751
96	831	1740
97	838	1728
98	846	1717
99	854	1708
100	861	1696
101	867	1684
102	874	1671
103	881	1661
104	889	1651
105	896	1640
106	901	1626
107	907	1613
108	912	1599
109	919	1587
110	926	1576
111	932	1564
112	939	1554
113	946	1544
114	952	1532
115	959	1522
116	966	1511
117	974	1502
118	980	1491
119	990	1485
120	997	1476
121	1006	1468
122	1013	1459
123	1020	1449
124	1027	1437
125	1034	1428
126	1040	1417
127	1046	1406
128	1052	1395
129	1058	1384
130	1064	1372
131	1070	1361
132	1075	1350
133	1084	1343
134	1092	1334
135	1099	1325
136	1108	1318
137	1115	1310
138	1122	1300
139	1134	1296
140	1142	1288
141	1150	1280
142	1157	1270
143	1165	1262
144	1171	1252
145	1180	1245
146	1186	1235
147	1212	1245
148	1219	1235
149	1229	1229
150	1237	1221
151	1246	1213
152	1253	1204
153	1264	1199
154	1273	1190
155	1284	1185
156	1297	1181
157	1305	1172
158	1311	1163
159	1325	1160
160	1334	1152
161	1343	1144
162	1352	1136
163	1359	1127
164	1369	1120
165	1377	1111
166	1383	1101
167	1390	1092
168	1400	1085
169	1406	1075
170	1412	1065
171	1419	1056
